category_large,category_medium,category_small,class,data_id,name,price
과자,비스킷,쿠키,00000100003,0,티포녹차쿠키,1000
과자,캔디,젤리,00000100004,1,베베토 쿨빈스사워믹스 12개입,1000
과자,캔디,소프트캔디,00000100005,2,스타트레이딩 마오암 블럭스 캐러멜 110G,1000
과자,캔디,소프트캔디,00000100006,3,스타트레이딩 마오암 시우어 110G,1000
과자,스낵,과일스낵,00000100007,4,산들 새콤달콤 동결 건조딸기칩 20G,1000
과자,캔디,젤리,00000100008,5,오리지날 젤리빈스위트센세이션 200G,1000
과자,캔디,젤리,00000100009,6,트롤리키스100G,1000
과자,캔디,젤리,00000100010,7,이농스푸드 흠반점 101G,1000
과자,견과류,아몬드,00000100011,8,허니버터아몬드130G,1000
과자,캔디,소프트캔디,00000100012,9,머쉬멜로우과일향젤리머쉬멜로우110G,1000
과자,캔디,소프트캔디,00000100013,10,이클립스민트향34G,1000
과자,캔디,소프트캔디,00000100014,11,이클립스스트로베리향34G,1000
과자,스낵,옥수수스낵,00000100015,12,칸츄리콘90G,1000
과자,캔디,젤리,00000100016,13,트롤리다이노렉스200g,1000
과자,캔디,젤리,00000100017,14,하리보골드바렌175G,1000
과자,캔디,젤리,00000100018,15,하리보피치컵175G,1000
과자,비스킷,스틱과자,00000100019,16,자가비 90G,1000
과자,캔디,소프트캔디,00000100020,17,이클립스스피어민트향34G,1000
과자,스낵,밀가루스낵,00000100021,18,추억의꽈배기80G,1000
과자,캔디,젤리,00000100022,19,트롤리밀크쿠200G,1000
과자,스낵,밀가루스낵,00000100023,20,용문산산더덕쌀과자60G,1000
과자,비스킷,쿠키,00000100024,21,글로벌프리미엄초콜릿칩오트쿠키,1000
과자,캔디,젤리,00000100025,22,3D 자이언트 콜라향 비틀젤리,1000
과자,비스킷,스틱과자,00000100026,23,페레로캐나다누텔라앤고,1000
과자,캔디,하드켄디,00000100027,24,RicolaAG리콜라스위스레몬민트맛캔디,1000
과자,스낵,쌀스낵,00000100028,25,깊은숲속행복한식품아이밀냠냠유기농쌀과자퍼핑도넛노랑,1000
과자,스낵,밀가루스낵,00000100029,26,새롬식품펭수초코프레첼80G,1000
면류,봉지면,국물봉지라면,00000300001,27,얼큰한쌀국수92G,1000
면류,봉지면,국물봉지라면,00000300002,28,삼경에프에스삿포로라멘미소84G,1000
상온HMR,레토르트,즉석스프,00000500002,29,보노 체다치즈스프 63G,1000
상온HMR,레토르트,즉석스프,00000500003,30,보노 포르치니 버섯스프 54G,1000
상온HMR,레저취미,반려견간식,00000500004,31,탐사 리얼 오메가 트릿 소고기연어 360G,1000
상온HMR,가공분말류,도넛가루/핫케이크가루,00000500005,32,모리나가 핫케잌 믹스 300G,1000
상온HMR,레토르트,즉석국/찌개,00000500006,33,주비푸드 일본식 미소장국 버섯맛 21G,1000
상온HMR,레토르트,기타레토르트,00000500007,34,주비푸드 적초생강 80G,1000
상온HMR,레토르트,즉석국/찌개,00000500008,35,양반 수라 우거지감자탕 460G,1000
상온HMR,레토르트,즉석죽,00000500009,36,양반 수라 녹두 삼계전복죽 420G,1000
상온HMR,레토르트,즉석죽,00000500010,37,양반 수라 낙지김치죽 420G,1000
상온HMR,잡곡,콩,00000500011,38,월드그린 적강낭콩 450G,1000
상온HMR,분말조미료,가공조미료,00000500014,39,빅마마씨푸드 해통령육수한알사골맛85G,1000
상온HMR,레토르트,즉석죽,00000500015,40,본아이에프 본죽 일품쇠고기미역죽500G,1000
상온HMR,병통조림,채소병통조림,00000500016,41,고야 다진고추를채운올리브149G,1000
상온HMR,레토르트,기타레토르트,00000500018,42,본아이에프 본죽 쇠고기장조림 170G,1000
상온HMR,기타,기타,00000500019,43,양송이스프,1000
상온HMR,설텅류,기타설탕류,00000500020,44,뉴슈가60G,1000
상온HMR,소스류,파,00000500021,45,알프레도파스타&소스,1000
상온HMR,과채음료,파우치음료,00000500022,46,아로마FI아띠야미석류피쉬콜라겐,1000
상온HMR,건강보조식품,종합영양제,00000500023,47,해밀스페니쉬비폴렌,1000
상온HMR,병통조림,채소병통조림,00000500024,48,투카스할리피뇨슬라이스,1000
상온HMR,레토르트,기타레토르트,00000500025,49,칼칼한돼지고기김치찜,1000
상온HMR,레토르트,기타레토르트,00000500026,50,해초랑무가미구운김가루,1000
상온HMR,레토르트,기타레토르트,00000500027,51,해우촌돌김자반1+150G*2,1000
상온HMR,레토르트,기타레토르트,00000500029,52,해우촌돌김자반50G,1000
생활용품,위생용품,면봉,00000600001,53,콩맥스전자담배용크리닝면봉,1000
생활용품,위생용품,장갑,00000600002,54,대진친환경위생장갑50매(24CM*28CM),1000
생활용품,세탁용품,세제,00000600003,55,초고농축 다우니 프리미엄퍼퓸 코튼퓨어러브 1L,1000
생활용품,사무용품,접착제,00000600005,56,문방 조은풀 초강력액체풀50ML,1000
생활용품,주방용품,지퍼백/비닐백,00000600006,57,지퍼락이지오픈탭미니35매,1000
생활용품,위생용품,화장솜,00000600009,58,중국)이지앤소프트부직포화장솜150P,1000
생활용품,위생용품,티슈,00000600010,59,이벤트코리아 데일리케어물티슈100매캡형,1000
생활용품,위생용품,일회용마스크,00000600011,60,중국)마스크진한파랑50PACK,1000
생활용품,위생용품,일회용마스크,00000600012,61,중국)마스크연한파랑50PACK,1000
생활용품,위생용품,일회용마스크,00000600013,62,중국)일본마스크50PACK,1000
생활용품,기타,기타,00000600014,63,롯데쇼핑)미니손난로핫팩하루,1000
생활용품,사무용품,수납용품,00000600015,64,플렉사두유우유홀더,1000
생활용품,기타,기타,00000600016,65,홈스타주방용세정제상큼한오렌지향,1000
생활용품,기타,기타,00000600017,66,그린세이프에프마이홈솔루션네오큐모기향,1000
생활용품,위생용품,구강용품,00000600018,67,프로폴리테라치약클래식민트,1000
생활용품,기타,기타,00000600019,68,콜게이트맥시멈캐비티프로텍션-그레이레귤러플레버,1000
생활용품,기타,기타,00000600020,69,클렌본캐치맙주방용행주세트300MM*300MM,1000
생활용품,위생용품,장갑,00000600021,70,홈에디션명진청소용장갑M,1000
생활용품,주방용품,식기류,00000600022,71,가루소분저장용기_소1.1KG,1000
생활용품,위생용품,일회용마스크,00000600023,72,K일회용필터마스크대형50매입,1000
생활용품,위생용품,장갑,00000600024,73,청정크린장갑,1000
생활용품,기타,기타,00000600026,74,화신공업화신공업화신원형인주(소),1000
생활용품,사무용품,볼펜,00000600027,75,희망노트사디즈니캐릭터마스코트볼펜(녹색)1개입,1000
생활용품,위생용품,탈취제,00000600028,76,해피룸해피탈취분사기향로맨틱가든180G,1000
생활용품,위생용품,탈취제,00000600029,77,해피룸해피탈취분사기향라벤더향180G,1000
생활용품,위생용품,탈취제,00000600030,78,해피룸해피탈취분사기향딸기향180G,1000
생활용품,위생용품,탈취제,00000600031,79,해피룸해피탈취분사기향레몬향180G,1000
생활용품,위생용품,탈취제,00000600032,80,해피룸해피탈취분사기향헤이즐넛향180G,1000
생활용품,위생용품,방향제,00000600033,81,산도깨비자동분사기향라일락280ML,1000
생활용품,위생용품,방향제,00000600034,82,산도깨비자동분사기향자스민280ML,1000
생활용품,기타,기타,00000600035,83,비카산업혼합미니백미니(소)40매,1000
생활용품,사무용품,충전용케이블,00000600036,84,팀넷코리아미키마우스5핀고속충전케이블1개입,1000
생활용품,기타,기타,00000600037,85,삼정펄프리빙뽑아쓰는키친타월150매,1000
생활용품,위생용품,구강용품,00000600038,86,통일산업휴대용구강청결제10개입,1000
생활용품,기타,기타,00000600039,87,톨스피아비타민C샤워기필터70ML,1000
생활용품,욕실용품,샤워기,00000600040,88,톨스피아녹물차단샤워기필터무향1개입,1000
생활용품,생리용품,생리대,00000600041,89,뉴라이프타공보드에사용하는2칸꽂이대형1개,1000
생활용품,기타,기타,00000600042,90,우일플라텍양념통300ML,1000
생활용품,기타,기타,00000600043,91,해창양념통400ML,1000
생활용품,기타,기타,00000600044,92,해창잘라쓰는소스병500ML,1000
생활용품,기타,기타,00000600045,93,해창노란색소스병580ML,1000
생활용품,기타,기타,00000600046,94,우주화학공업사스푼포함양념통450ML,1000
생활용품,기타,기타,00000600047,95,해창빨강소스병580ML,1000
생활용품,기타,기타,00000600048,96,산도깨비아로마티셔츠리필용3개입,1000
생활용품,기타,기타,00000600049,97,산도깨비아로마티셔츠후리지아1개입,1000
생활용품,주방용품,오일브러쉬,00000600050,98,이네스트실리콘오일브러쉬1개입(갈색),1000
생활용품,위생용품,탈취제,00000600051,99,비엘코리아배수구탈취제레몬라임330ML,1000
생활용품,기타,기타,00000600052,100,비엘코리아식탁세정330ML,1000
생활용품,주방용품,오일브러쉬,00000600053,101,이네스트실리콘오일브러쉬1개입(흰색),1000
생활용품,주방용품,보온병,00000600054,102,MS원터치비비드보온병(자주색),1000
생활용품,주방용품,보온병,00000600055,103,MS모던보온병,1000
생활용품,기타,기타,00000600056,104,뉴텍정공걸이형스텐수저통(원형),1000
생활용품,주방용품,보온병,00000600057,105,MS원터치비비드보온병(화이트),1000
생활용품,주방용품,보온병,00000600058,106,MS원터치비비드보온병(핑크),1000
생활용품,주방용품,보온병,00000600059,107,MS원터치비비드보온병(브론즈),1000
생활용품,기타,기타,00000600060,108,MS스텐워터보틀330ML(하늘색),1000
생활용품,기타,기타,00000600061,109,MS스텐워터보틀330ML(베이지),1000
생활용품,기타,기타,00000600062,110,브니엘산업브니엘수저통,1000
생활용품,기타,기타,00000600063,111,한솔제관마스킹테이프틴케이스보관함,1000
생활용품,기타,기타,00000600064,112,뉴텍정공걸이형스텐수저통(직사각형),1000
생활용품,기타,기타,00000600065,113,뉴텍정공와이어부착스텐다용도통,1000
생활용품,위생용품,방향제,00000600066,114,선인장모양석고방향제(레몬),1000
생활용품,위생용품,방향제,00000600067,115,사과모양방향제80G,1000
생활용품,사무용품,수납용품,00000600068,116,모노톤메모홀더(400매),1000
생활용품,기타,기타,00000600069,117,스틸펜꽂이,1000
생활용품,기타,기타,00000600070,118,미니연필깎이(옐로우),1000
생활용품,기타,기타,00000600071,119,미니연필깎이(민트),1000
생활용품,기타,기타,00000600072,120,바로꽂아쓰는연필깎이(옐로우),1000
생활용품,기타,기타,00000600073,121,바로꽂아쓰는연필깎이(민트),1000
생활용품,기타,기타,00000600074,122,파인라이너수성펜,1000
생활용품,기타,기타,00000600075,123,원형펜꽂이(소),1000
생활용품,기타,기타,00000600076,124,원형펜꽂이(중),1000
생활용품,기타,기타,00000600077,125,모노톤펜꽂이,1000
생활용품,기타,기타,00000600078,126,후크부착다용도걸이(대),1000
생활용품,기타,기타,00000600079,127,스타일빨래집게14P,1000
생활용품,기타,기타,00000600080,128,홀앤홀흡착큐방10P,1000
생활용품,기타,기타,00000600081,129,아로마티셔츠라벤더,1000
생활용품,기타,기타,00000600082,130,아로마티셔츠로즈마리,1000
생활용품,기타,기타,00000600083,131,아로마티셔츠리필3P(후리지아),1000
생활용품,욕실용품,샤워기,00000600084,132,비타민C샤워기필터은은한라벤더향,1000
생활용품,욕실용품,샤워기,00000600085,133,비타민C샤워기필체리블라썸향,1000
생활용품,위생용품,방향제,00000600086,134,청소기방향제10G*3,1000
생활용품,기타,기타,00000600087,135,아로마티셔츠숲속향,1000
생활용품,위생용품,탈취제,00000600088,136,쓰레기통냄새탈취제라벤더향,1000
생활용품,위생용품,탈취제,00000600089,137,쓰레기통냄새탈취제레몬향,1000
생활용품,기타,기타,00000600090,138,통김솔,1000
생활용품,주방용품,식기류,00000600091,139,다회용소주컵60ML,1000
생활용품,기타,기타,00000600092,140,후크부착다용도걸이(소),1000
생활용품,세탁용품,보풀제거기,00000600093,141,토끼모양보풀제거기,1000
생활용품,세탁용품,보풀제거기,00000600094,142,보풀제거기A2,1000
생활용품,기타,기타,00000600095,143,트라이탄아동용물병230ML(옐로우),1000
생활용품,위생용품,구강용품,00000600096,144,트라이탄아동용물병230ML(민트),1000
생활용품,기타,기타,00000600097,145,다이노트라이탄뚜껑물병350ML,1000
생활용품,위생용품,구강용품,00000600098,146,입속미인마일드애플민트가글,1000
생활용품,위생용품,구강용품,00000600099,147,입속미인마일드시트러스향가글,1000
